path	bytes	lines	class	audit_status	flags
demo/call-app/README.md	3245	74	documentation	manual_audit_required	sfu
demo/call-app/call-diagnostics/call-app.manifest.json	2389	98	config	manual_audit_required	sfu,capabilities
demo/call-app/call-diagnostics/crdt.schema.json	1085	50	config	low_signal_inventory_only	
demo/call-app/call-diagnostics/health.descriptor.json	1079	47	config	low_signal_inventory_only	
demo/call-app/call-diagnostics/mcp.descriptor.json	1969	71	config	manual_audit_required	capabilities
demo/call-app/call-diagnostics/public/call-diagnostics.css	8403	520	other	manual_audit_required	background
demo/call-app/call-diagnostics/public/call-diagnostics.js	30367	748	other	manual_audit_required	sfu,reconnect,capabilities,fallback,keyframe_delta
demo/call-app/call-diagnostics/public/index.html	4707	94	other	manual_audit_required	sfu
demo/call-app/planning-image/call-app.manifest.json	2189	86	config	manual_audit_required	capabilities
demo/call-app/planning-image/crdt.schema.json	1185	53	config	low_signal_inventory_only	
demo/call-app/planning-image/health.descriptor.json	1073	47	config	low_signal_inventory_only	
demo/call-app/planning-image/mcp.descriptor.json	1818	62	config	manual_audit_required	capabilities
demo/call-app/planning-image/public/index.html	1690	42	other	low_signal_inventory_only	
demo/call-app/planning-image/public/planning-image.css	4185	234	other	manual_audit_required	background
demo/call-app/planning-image/public/planning-image.js	20703	577	other	manual_audit_required	capabilities,fallback,keyframe_delta
demo/call-app/presentation/call-app.manifest.json	2427	90	config	manual_audit_required	capabilities
demo/call-app/presentation/crdt.schema.json	1420	58	config	low_signal_inventory_only	
demo/call-app/presentation/health.descriptor.json	1067	47	config	low_signal_inventory_only	
demo/call-app/presentation/mcp.descriptor.json	1809	63	config	manual_audit_required	capabilities
demo/call-app/presentation/public/index.html	2122	49	other	low_signal_inventory_only	
demo/call-app/presentation/public/presentation.css	4957	288	other	manual_audit_required	background
demo/call-app/presentation/public/presentation.js	37551	696	other	manual_audit_required	capabilities,fallback,keyframe_delta
demo/call-app/spreadsheet/call-app.manifest.json	2320	91	config	manual_audit_required	capabilities
demo/call-app/spreadsheet/crdt.schema.json	1213	58	config	low_signal_inventory_only	
demo/call-app/spreadsheet/health.descriptor.json	1064	47	config	low_signal_inventory_only	
demo/call-app/spreadsheet/mcp.descriptor.json	2214	77	config	manual_audit_required	capabilities
demo/call-app/spreadsheet/public/index.html	2449	59	other	low_signal_inventory_only	
demo/call-app/spreadsheet/public/spreadsheet.css	4028	279	other	manual_audit_required	background
demo/call-app/spreadsheet/public/spreadsheet.js	29859	795	other	manual_audit_required	background,capabilities
demo/call-app/text-document/call-app.manifest.json	2325	92	config	manual_audit_required	capabilities
demo/call-app/text-document/crdt.schema.json	1286	60	config	low_signal_inventory_only	
demo/call-app/text-document/health.descriptor.json	1070	47	config	low_signal_inventory_only	
demo/call-app/text-document/mcp.descriptor.json	1767	62	config	manual_audit_required	capabilities
demo/call-app/text-document/public/index.html	2301	53	other	low_signal_inventory_only	
demo/call-app/text-document/public/text-document.css	4359	271	other	manual_audit_required	background
demo/call-app/text-document/public/text-document.js	27469	675	other	manual_audit_required	background,capabilities
demo/call-app/whiteboard/call-app.manifest.json	2259	90	config	manual_audit_required	capabilities
demo/call-app/whiteboard/crdt.schema.json	1252	60	config	low_signal_inventory_only	
demo/call-app/whiteboard/health.descriptor.json	1061	47	config	low_signal_inventory_only	
demo/call-app/whiteboard/mcp.descriptor.json	1711	62	config	manual_audit_required	capabilities
demo/call-app/whiteboard/public/index.html	3200	65	other	low_signal_inventory_only	
demo/call-app/whiteboard/public/whiteboard.css	3654	204	other	manual_audit_required	background
demo/call-app/whiteboard/public/whiteboard.js	31500	805	other	manual_audit_required	capabilities,fallback
demo/model-inference/backend-king-php/Dockerfile	1696	45	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/auth/auth_middleware.php	2133	56	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/auth/auth_store.php	14728	409	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/conversation/conversation_store.php	13900	335	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/dns_semantic_query.php	3305	99	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/graph_expand.php	3063	99	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/graph_store.php	7981	219	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/hybrid_discover.php	8247	271	source	manual_audit_required	capabilities
demo/model-inference/backend-king-php/domain/discovery/mcp_pick.php	2440	72	source	manual_audit_required	orchestrator
demo/model-inference/backend-king-php/domain/discovery/semantic_discover.php	2393	77	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/service_descriptor.php	6870	216	source	manual_audit_required	capabilities
demo/model-inference/backend-king-php/domain/discovery/service_embedding_store.php	8209	227	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/service_embedding_upsert.php	3103	77	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/tool_descriptor.php	8944	235	source	manual_audit_required	capabilities
demo/model-inference/backend-king-php/domain/discovery/tool_descriptor_store.php	8296	235	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/discovery/tool_discover.php	5892	171	source	low_signal_inventory_only	
demo/model-inference/backend-king-php/domain/embedding/embedding_request.php	7531	212	source	low_signal_inventory_only	
