path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/src/domain/realtime/CallWorkspaceView.vue	77654	2151	source	sfu,gossip,background,security,reconnect,backpressure,quality,regression,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/participantUi.ts	68037	1994	source	background,security,reconnect,backpressure,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/call-access-join.spec.js	60427	1634	test		manual_audit_required
demo/video-chat/scripts/deploy.sh	66410	1621	script	sfu,gossip,fallback	manual_audit_required
demo/video-chat/frontend-vue/package-lock.json	57139	1598	config	security	manual_audit_required
demo/video-chat/frontend-vue/src/layouts/WorkspaceShell.vue	55580	1542	source	fallback	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_store.php	62657	1518	source	sfu,background,security,reconnect,quality,capabilities,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_gossipmesh.php	54595	1492	source	gossip,security,reconnect,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/sfuClient.ts	53108	1416	source	sfu,background,security,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/mediaOrchestration.ts	56283	1375	source	sfu,background,quality,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/modules/calendar/pages/CalendarView.vue	41175	1356	source	background,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/mediaSecurityRuntime.ts	56478	1342	source	sfu,gossip,background,security,reconnect,capabilities,repair,keyframe_delta	manual_audit_required
demo/model-inference/backend-king-php/public/chat.html	46004	1298	source	background,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/publisherBackpressureController.ts	58430	1274	source	sfu,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/userland/flow-php/src/StreamingSink.php	35181	1251	source	security,reconnect	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/protectedBrowserVideoEncoder.ts	51027	1216	source	sfu,gossip,background,security,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/edge/edge.php	50514	1216	other	sfu,background,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/frameDecode.ts	50240	1166	source	sfu,background,security,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherPipeline.ts	46508	1111	source	sfu,gossip,background,security,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/tests/realtime-gossipmesh-runtime-contract.php	65092	1081	test	sfu,gossip,security,reconnect,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/socketLifecycle.ts	41408	1078	source	sfu,gossip,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/calls/call_access_account_confirmation.php	40551	1031	source	fallback	manual_audit_required
demo/video-chat/backend-king-php/tests/realtime-sfu-contract.php	54876	1010	test	sfu,gossip,background,security,reconnect,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_users.php	40496	1009	source		manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/media/security.ts	38845	999	source	security,capabilities,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/CallWorkspaceStage.css	23314	984	source	background,keyframe_delta	manual_audit_required
demo/userland/flow-php/src/ControlPlane.php	32643	978	source	capabilities,repair	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_gateway.php	43943	975	source	sfu,security,reconnect,backpressure,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/workspace/workspace_app_configuration.php	42443	962	source	background,fallback	manual_audit_required
demo/userland/flow-php/src/SerializationBridge.php	26670	957	source		manual_audit_required
demo/video-chat/frontend-vue/src/domain/auth/session.ts	31039	944	source	fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/gossipDataLane.ts	44262	938	source	sfu,gossip,security,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/background-production-browser-smoke.spec.js	34213	908	test	sfu,background,reconnect,quality,fallback	manual_audit_required
demo/userland/flow-php/src/Partitioning.php	25204	877	source	backpressure,capabilities	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_call_context.php	28005	854	source	reconnect,fallback	manual_audit_required
demo/userland/flow-php/src/StreamingSource.php	24594	850	source		manual_audit_required
demo/video-chat/contracts/v1/iam-call-access-seeding.matrix.json	27078	846	contract		manual_audit_required
demo/video-chat/backend-king-php/domain/call_apps/call_app_sessions.php	35214	844	source	reconnect,capabilities	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_websocket.php	39434	835	source	gossip,security,backpressure	manual_audit_required
demo/video-chat/backend-king-php/domain/calls/call_access_contract.php	27258	835	source	security	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/runtimeHealth.ts	35918	826	source	sfu,security,reconnect,backpressure,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/scripts/smoke.sh	32518	824	script	sfu,background,security,reconnect,fallback	manual_audit_required
demo/video-chat/backend-king-php/domain/users/user_settings.php	31181	822	source		manual_audit_required
demo/video-chat/frontend-vue/tests/e2e/lobby-admission.spec.js	31656	820	test	sfu	manual_audit_required
demo/call-app/whiteboard/public/whiteboard.js	31500	805	other	capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/modules/localization/englishMessages.js	45005	804	source	background,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/lib/gossipmesh/gossipController.ts	26567	799	source	gossip,reconnect,repair,keyframe_delta	manual_audit_required
demo/video-chat/scripts/deploy-smoke.sh	32753	795	script	sfu,background,reconnect,fallback	manual_audit_required
demo/video-chat/backend-king-php/tests/call-app-session-lifecycle-contract.php	59052	795	test	reconnect,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/screenSharePublisher.js	28877	784	source	sfu,gossip,background,security,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_websocket_commands.php	30550	782	source	gossip,capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/background/pipeline/compositorStage.js	28139	780	source	background,reconnect,fallback	manual_audit_required
demo/call-app/call-diagnostics/public/call-diagnostics.js	30367	748	other	sfu,reconnect,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/calls/dashboard/enterCall.ts	26458	734	source	background,reconnect,fallback	manual_audit_required
